Model,Player,Total Earnings,Avg Earnings (Per Round)
BNE,Risk Averse,6200,62.0
BNE,Risk Averse,6200,62.0
BNE,Risk Averse,6200,62.0
BNE,Risk Averse,6200,62.0
BNE,Risk Averse,6200,62.0
BNE,Risk Averse,6200,62.0
BNE,Risk Averse,6200,62.0
BNE,Risk Averse,6200,62.0
BNE,Risk Averse,6200,62.0
BNE,Risk Averse,6200,62.0
BNE,Risk Seeking,6200,62.0
BNE,Risk Seeking,6200,62.0
BNE,Risk Seeking,6200,62.0
BNE,Risk Seeking,6200,62.0
BNE,Risk Seeking,6200,62.0
BNE,Risk Seeking,6200,62.0
BNE,Risk Seeking,6200,62.0
BNE,Risk Seeking,6200,62.0
BNE,Risk Seeking,6200,62.0
BNE,Risk Seeking,6200,62.0
BNE,Loss Averse,6200,62.0
BNE,Loss Averse,6200,62.0
BNE,Loss Averse,6200,62.0
BNE,Loss Averse,6200,62.0
BNE,Loss Averse,6200,62.0
BNE,Loss Averse,6200,62.0
BNE,Loss Averse,6200,62.0
BNE,Loss Averse,6200,62.0
BNE,Loss Averse,6200,62.0
BNE,Loss Averse,6200,62.0
BNE,Optimistic,6200,62.0
BNE,Optimistic,6200,62.0
BNE,Optimistic,6200,62.0
BNE,Optimistic,6200,62.0
BNE,Optimistic,6200,62.0
BNE,Optimistic,6200,62.0
BNE,Optimistic,6200,62.0
BNE,Optimistic,6200,62.0
BNE,Optimistic,6200,62.0
BNE,Optimistic,6200,62.0
BNE,Rational,6200,62.0
BNE,Rational,6200,62.0
BNE,Rational,6200,62.0
BNE,Rational,6200,62.0
BNE,Rational,6200,62.0
BNE,Rational,6200,62.0
BNE,Rational,6200,62.0
BNE,Rational,6200,62.0
BNE,Rational,6200,62.0
BNE,Rational,6200,62.0
PBE,Risk Averse,6200,62.0
PBE,Risk Averse,6200,62.0
PBE,Risk Averse,6200,62.0
PBE,Risk Averse,6200,62.0
PBE,Risk Averse,6200,62.0
PBE,Risk Averse,6200,62.0
PBE,Risk Averse,6200,62.0
PBE,Risk Averse,6200,62.0
PBE,Risk Averse,6200,62.0
PBE,Risk Averse,6200,62.0
PBE,Risk Seeking,6200,62.0
PBE,Risk Seeking,6200,62.0
PBE,Risk Seeking,6200,62.0
PBE,Risk Seeking,6200,62.0
PBE,Risk Seeking,6200,62.0
PBE,Risk Seeking,6200,62.0
PBE,Risk Seeking,6200,62.0
PBE,Risk Seeking,6200,62.0
PBE,Risk Seeking,6200,62.0
PBE,Risk Seeking,6200,62.0
PBE,Loss Averse,6200,62.0
PBE,Loss Averse,6200,62.0
PBE,Loss Averse,6200,62.0
PBE,Loss Averse,6200,62.0
PBE,Loss Averse,6200,62.0
PBE,Loss Averse,6200,62.0
PBE,Loss Averse,6200,62.0
PBE,Loss Averse,6200,62.0
PBE,Loss Averse,6200,62.0
PBE,Loss Averse,6200,62.0
PBE,Optimistic,6200,62.0
PBE,Optimistic,6200,62.0
PBE,Optimistic,6200,62.0
PBE,Optimistic,6200,62.0
PBE,Optimistic,6200,62.0
PBE,Optimistic,6200,62.0
PBE,Optimistic,6200,62.0
PBE,Optimistic,6200,62.0
PBE,Optimistic,6200,62.0
PBE,Optimistic,6200,62.0
PBE,Rational,6200,62.0
PBE,Rational,6200,62.0
PBE,Rational,6200,62.0
PBE,Rational,6200,62.0
PBE,Rational,6200,62.0
PBE,Rational,6200,62.0
PBE,Rational,6200,62.0
PBE,Rational,6200,62.0
PBE,Rational,6200,62.0
PBE,Rational,6200,62.0
